DEBUG:root:BVHBuilder: prepare mesh, esc: True
DEBUG:root:BVHBuilder: sa_max 0.8346014643457319 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.7530821180388738 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.8502073266705392 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.8426088773621963 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.5861497541338205 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.7673586863910765 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.9062574374807528 in early_split_clipping
DEBUG:root:BVHBuilder: sa_max 0.8651505127978605 in early_split_clipping
DEBUG:root:BVHBuilder: total primitives: 320
DEBUG:root:BVHBuilder: build node. №7, primitives: 1
DEBUG:root:BVHBuilder: build node. №8, primitives: 1
DEBUG:root:BVHBuilder: build node. №6, primitives: 0
DEBUG:root:BVHBuilder: build node. №12, primitives: 1
DEBUG:root:BVHBuilder: build node. №13, primitives: 1
DEBUG:root:BVHBuilder: build node. №11, primitives: 0
DEBUG:root:BVHBuilder: build node. №14, primitives: 1
DEBUG:root:BVHBuilder: build node. №10, primitives: 0
DEBUG:root:BVHBuilder: build node. №16, primitives: 1
DEBUG:root:BVHBuilder: build node. №17, primitives: 1
DEBUG:root:BVHBuilder: build node. №15, primitives: 0
DEBUG:root:BVHBuilder: build node. №9, primitives: 0
DEBUG:root:BVHBuilder: build node. №5, primitives: 0
DEBUG:root:BVHBuilder: build node. №21, primitives: 1
DEBUG:root:BVHBuilder: build node. №22, primitives: 1
DEBUG:root:BVHBuilder: build node. №20, primitives: 0
DEBUG:root:BVHBuilder: build node. №24, primitives: 1
DEBUG:root:BVHBuilder: build node. №25, primitives: 1
DEBUG:root:BVHBuilder: build node. №23, primitives: 0
DEBUG:root:BVHBuilder: build node. №19, primitives: 0
DEBUG:root:BVHBuilder: build node. №29, primitives: 1
DEBUG:root:BVHBuilder: build node. №30, primitives: 1
DEBUG:root:BVHBuilder: build node. №28, primitives: 0
DEBUG:root:BVHBuilder: build node. №31, primitives: 1
DEBUG:root:BVHBuilder: build node. №27, primitives: 0
DEBUG:root:BVHBuilder: build node. №33, primitives: 1
DEBUG:root:BVHBuilder: build node. №35, primitives: 1
DEBUG:root:BVHBuilder: build node. №36, primitives: 1
DEBUG:root:BVHBuilder: build node. №34, primitives: 0
DEBUG:root:BVHBuilder: build node. №32, primitives: 0
DEBUG:root:BVHBuilder: build node. №26, primitives: 0
DEBUG:root:BVHBuilder: build node. №18, primitives: 0
DEBUG:root:BVHBuilder: build node. №4, primitives: 0
DEBUG:root:BVHBuilder: build node. №41, primitives: 1
DEBUG:root:BVHBuilder: build node. №43, primitives: 1
DEBUG:root:BVHBuilder: build node. №44, primitives: 1
DEBUG:root:BVHBuilder: build node. №42, primitives: 0
DEBUG:root:BVHBuilder: build node. №40, primitives: 0
DEBUG:root:BVHBuilder: build node. №46, primitives: 1
DEBUG:root:BVHBuilder: build node. №47, primitives: 1
DEBUG:root:BVHBuilder: build node. №45, primitives: 0
DEBUG:root:BVHBuilder: build node. №39, primitives: 0
DEBUG:root:BVHBuilder: build node. №50, primitives: 1
DEBUG:root:BVHBuilder: build node. №51, primitives: 1
DEBUG:root:BVHBuilder: build node. №49, primitives: 0
DEBUG:root:BVHBuilder: build node. №52, primitives: 1
DEBUG:root:BVHBuilder: build node. №48, primitives: 0
DEBUG:root:BVHBuilder: build node. №38, primitives: 0
DEBUG:root:BVHBuilder: build node. №56, primitives: 1
DEBUG:root:BVHBuilder: build node. №57, primitives: 1
DEBUG:root:BVHBuilder: build node. №55, primitives: 0
DEBUG:root:BVHBuilder: build node. №59, primitives: 1
DEBUG:root:BVHBuilder: build node. №60, primitives: 1
DEBUG:root:BVHBuilder: build node. №58, primitives: 0
DEBUG:root:BVHBuilder: build node. №54, primitives: 0
DEBUG:root:BVHBuilder: build node. №63, primitives: 1
DEBUG:root:BVHBuilder: build node. №65, primitives: 1
DEBUG:root:BVHBuilder: build node. №66, primitives: 1
DEBUG:root:BVHBuilder: build node. №64, primitives: 0
DEBUG:root:BVHBuilder: build node. №62, primitives: 0
DEBUG:root:BVHBuilder: build node. №68, primitives: 1
DEBUG:root:BVHBuilder: build node. №69, primitives: 1
DEBUG:root:BVHBuilder: build node. №67, primitives: 0
DEBUG:root:BVHBuilder: build node. №61, primitives: 0
DEBUG:root:BVHBuilder: build node. №53, primitives: 0
DEBUG:root:BVHBuilder: build node. №37, primitives: 0
DEBUG:root:BVHBuilder: build node. №3, primitives: 0
DEBUG:root:BVHBuilder: build node. №76, primitives: 1
DEBUG:root:BVHBuilder: build node. №77, primitives: 1
DEBUG:root:BVHBuilder: build node. №75, primitives: 0
DEBUG:root:BVHBuilder: build node. №78, primitives: 1
DEBUG:root:BVHBuilder: build node. №74, primitives: 0
DEBUG:root:BVHBuilder: build node. №80, primitives: 1
DEBUG:root:BVHBuilder: build node. №81, primitives: 1
DEBUG:root:BVHBuilder: build node. №79, primitives: 0
DEBUG:root:BVHBuilder: build node. №73, primitives: 0
DEBUG:root:BVHBuilder: build node. №83, primitives: 1
